         15317483 function calls (15317479 primitive calls) in 22.718 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   12.678   12.678   12.805   12.805 noaa_decode.py:87(gen_bitstream)
        1    6.274    6.274    9.329    9.329 noaa_decode.py:41(manchester_decode_nebarnix)
  7153985    2.511    0.000    2.729    0.000 _tqdm.py:1000(update)
  7200201    0.447    0.000    0.447    0.000 {built-in method builtins.abs}
     3757    0.142    0.000    0.142    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.139    0.069    0.139    0.069 {method 'search' of 'bitarray._bitarray' objects}
        1    0.128    0.128   22.698   22.698 noaa_decode.py:169(main)
   384405    0.109    0.000    0.109    0.000 noaa_decode.py:332(<genexpr>)
     3662    0.037    0.000    0.146    0.000 {method 'join' of 'str' objects}
        1    0.029    0.029    0.029    0.029 {built-in method numpy.core.multiarray.fromfile}
     4063    0.029    0.000    0.032    0.000 noaa_decode.py:136(party_check)
   424031    0.028    0.000    0.028    0.000 {built-in method time.time}
        1    0.022    0.022    0.022    0.022 {built-in method numpy.core.multiarray.arange}
        1    0.018    0.018   22.716   22.716 noaa_decode.py:14(<module>)
     1422    0.017    0.000    0.017    0.000 socket.py:334(send)
        1    0.016    0.016    0.038    0.038 function_base.py:25(linspace)
     3661    0.014    0.000    0.024    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     3661    0.009    0.000    0.009    0.000 {built-in method _codecs.charmap_encode}
    61682    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     1422    0.004    0.000    0.026    0.000 iostream.py:195(schedule)
     1740    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
      219    0.003    0.000    0.012    0.000 _tqdm.py:198(format_meter)
    22979    0.003    0.000    0.003    0.000 {method 'count' of 'bitarray._bitarray' objects}
      468    0.003    0.000    0.149    0.000 threading.py:533(wait)
      471    0.003    0.000    0.003    0.000 threading.py:215(__init__)
      465    0.003    0.000    0.166    0.000 iostream.py:334(flush)
     1887    0.002    0.000    0.005    0.000 threading.py:1104(is_alive)
      466    0.002    0.000    0.145    0.000 threading.py:263(wait)
